Restaurant_id,Dining_Rating,Dining_Rating_Count,Delivery_Rating,Delivery_Rating_Count,Location_id
R193,4.9,1053,4.3,2080,L032
R194,4.3,788,4,244,L032
R195,4.4,1296,3.9,83,L120
R196,4.8,1082,4.3,373,L025
R197,4.1,1625,4,458,L024
R198,4.2,1147,,,L181
R199,4.1,332,3.9,337,L183
R200,4.6,798,,,L003
R201,4.2,689,3.9,614,L011
R202,4.3,1467,4.1,8001,L032
R203,4.5,1055,,,L187
R204,4.3,1013,4.2,643,L008
R205,4.5,1055,,,L040
R206,4.2,2164,3.5,162,L189
R207,4.3,530,,,L191
R208,4.5,1040,3.9,145,L058
R209,4.3,1646,3.9,67,L018
R210,4.5,1208,4,2552,L021
R211,4.2,2591,4.3,1264,L024
R212,4.2,1353,4.1,639,L009
R213,4.4,1907,4,353,L015
R214,4.2,1322,4.1,1495,L025
R215,4.5,964,3.4,50,L058
R216,4,1437,3.9,526,L038
R217,4.3,784,3.2,975,L018
R218,4.4,2261,3.7,64,L015
R219,4,390,3.9,4129,L268
R220,4.9,1511,4.1,4621,L024
R221,4,1179,3.4,46,L197
R222,4.2,705,4,325,L021
R223,4.3,1247,3.5,88,L009
R224,4.4,1043,3.7,515,L021
R225,3.7,1368,,,L047
R226,4.3,1104,4.1,19500,L077
R227,4.3,1475,4.2,377,L025
R228,4.6,949,4.1,323,L025
R229,4.2,563,3.9,1128,L011
R230,4.6,549,,,L201
R231,4.2,909,,,L203
R232,4.4,912,,,L204
R233,4.3,1335,3.9,47200,L008
R234,4.1,381,3.9,4972,L029
R235,4.6,825,4.4,241,L024
R236,4.2,837,3.9,547,L268
R237,3.9,413,3.8,9449,L037
R238,4.3,613,4.1,1886,L025
R239,4.3,838,4.2,304,L008
R240,2.6,1197,4.1,11700,L019
R241,4.3,867,,,L268
R242,4.3,847,4.2,215,L197
R243,4.5,798,3.9,63,L008
R244,4.5,872,4.1,882,L197
R245,4.2,763,3.7,475,L019
R246,4.2,897,3.9,193,L024
R247,4.2,877,,,L208
R248,4.1,627,4,1058,L048
R249,4.3,688,4.2,360,L038
R250,4,999,4,13300,L016
R251,4.7,848,4.3,201,L021
R252,4.1,1078,3.7,51700,L008
R253,4,419,4.2,6757,L041
R254,4.1,1191,3.7,17400,L063
R255,4.1,450,3.8,8359,L010
R256,4.6,711,4.2,748,L115
R257,4.3,851,3.6,1548,L036
R258,4.2,796,4,3470,L003
R259,4.1,311,4,2252,L044
R260,4,324,3.5,13500,L010
R261,4.3,840,3.5,1574,L024
R262,4.3,837,3.8,1076,L024
R263,3.9,997,3.7,26900,L031
R264,4.1,588,,,L144
R265,,,3.9,20700,L090
R266,4.4,602,,,L195
R267,4.2,655,4.1,949,L011
R268,4.1,777,3.1,176,L006
R269,3.5,517,2.7,6534,L001
R270,3.9,677,3.7,26300,L031
R271,4.5,760,4.4,487,L213
R272,4.2,590,3.9,927,L268
R273,4.2,698,3.3,2712,L019
R274,4.3,438,4.2,936,L009
R275,,,3.1,10,L092
R276,4.3,713,,,L208
R277,4.1,351,4.2,1717,L025
R278,3.9,241,3.7,4017,L053
R279,3.8,489,3.8,19300,L023
R280,4.4,715,4,93,L018
R281,4.2,649,3.8,477,L216
R282,3.9,646,3.5,5474,L037
R283,4.4,678,,,L217
R284,4.4,700,,,L048
R285,4.5,692,4,197,L204
R286,,,4.1,5154,L025
R287,4.1,596,,,L219
R288,4.3,633,4,829,L007
R289,4.1,551,4.2,1152,L025
R290,4.5,358,3.9,42,L009
R291,3.9,637,3.8,542,L015
R292,4,366,3.8,24200,L045
R293,4.5,432,,,L137
R294,3.7,502,3.9,997,L077
R295,3.9,128,3.9,44,L005
R296,3.8,566,3.8,2981,L027
R297,3,766,3.4,9122,L121
R298,4.1,434,3.5,1330,L032
R299,4.2,458,3.9,170,L021
R300,4.1,417,3.2,712,L024
R301,4.1,627,,,L187
R302,4.3,533,4.4,1163,L007
R303,4.4,640,4.1,862,L037
R304,4.6,629,,,L103
R305,4.3,558,,,L025
R306,4.1,621,4,606,L058
R307,4,645,3.9,94,L062
R308,,,4.1,10900,L010
R309,3.8,631,4.2,188,L018
R310,4.5,610,,,L126
R311,4.2,644,4,8089,L051
R312,3.7,438,4,1886,L008
R313,3.9,557,3.9,2037,L042
R314,2.7,599,3,8450,L037
R315,3.9,626,3.4,351,L025
R316,4.4,586,4.1,143,L079
R317,4.3,619,4.3,390,L018
R318,3.4,625,3.5,4839,L025
R319,4.3,588,4.3,3350,L007
R320,3.7,475,4.4,2447,L058
R321,4.9,534,4.3,1476,L024
R322,4.2,638,,,L182
R323,,,3.9,15700,L075
R324,4.1,379,3.8,2224,L090
R325,4,382,3.5,1870,L037
R326,3.9,531,3.8,9663,L001
R327,4.4,581,3.6,73,L024
R328,4.2,575,4,1675,L018
R329,4.1,340,3.9,209,L025
R330,4.4,547,4.3,635,L020
R331,3.8,563,,,L059
R332,4,498,4,2795,L069
R333,4.2,740,,,L144
R334,4.3,363,4.1,164,L021
R335,4,572,3.9,133,L018
R336,3.6,410,,,L220
R337,,,3.9,6535,L007
R338,3.6,387,,,L024
R339,4.1,564,,,L178
R340,4,294,3.9,1399,L025
R341,2.4,559,3.6,1677,L069
R342,4.4,436,4.3,266,L021
R343,4.4,563,,,L235
R344,3.4,552,,,L008
R345,4.2,301,4.2,760,L268
R346,3.9,708,3.6,17600,L053
R347,4.3,516,3.9,93,L020
R348,3.7,456,3.7,3038,L024
R349,4.1,589,3.5,11900,L044
R350,4.1,504,3.7,911,L007
R351,4.4,378,4.4,257,L025
R352,4,452,3.8,5842,L037
R353,4,465,3.9,35,L008
R354,4.1,547,3.9,2001,L019
R355,4.2,445,4,937,L011
R356,4,533,4.1,7553,L077
R357,4.2,522,4,233,L021
R358,4.4,488,3.8,94,L069
R359,4.4,517,,,L207
R360,4.4,499,,,L008
R361,3.9,361,3.9,1679,L025
R362,4.3,462,4.1,1702,L022
R363,4,285,3.9,54,L218
R364,4.1,566,3.9,1489,L066
R365,4.2,469,,,L025
R366,4,497,4,167,L008
R367,,,3.6,3815,L058
R368,4.1,454,3.3,2497,L268
R369,4.1,490,3.8,699,L007
R370,3,499,3.5,863,L024
R371,4.4,482,4.5,1704,L038
R372,3.9,492,3.7,536,L147
R373,4.1,511,3.5,2669,L025
R374,,,3.2,26400,L036
R375,4.3,479,,,L195
R376,4.1,507,4.1,22400,L045
R377,4.1,468,4.3,637,L058
R378,3.9,198,4,4475,L004
R379,4.2,436,3.8,115,L008
R380,4.2,383,3.9,743,L109
R381,4,400,3.7,61,L025
R382,4,348,3.3,3726,L063
R383,4.6,459,3.9,659,L042
R384,4.3,444,3.9,29,L191
R385,3.7,528,4.5,5228,L070
R386,4.2,291,4.1,645,L014
R387,3.4,324,3.9,1240,L010
R388,4.2,480,,,L240
R389,3.7,459,2.8,3640,L010
R390,4.3,564,,,L144
R391,3.3,459,2.7,6070,L010
R392,4.1,566,3.7,7294,L007
R393,4.4,447,,,L053
R394,4.2,452,,,L025
R395,4.4,443,3.9,132,L039
R396,4.7,432,,,L241
R397,4.2,391,3.9,215,L268
R398,4.1,441,4.2,3101,L024
R399,4.1,440,,,L045
R400,4.1,430,3.7,379,L042
R401,4.3,436,,,L008
R402,4,438,4,107,L021
R403,4,350,4.1,3712,L067
R404,4.2,450,3.8,5693,L075
R405,4.3,424,,,L244
R406,4,429,4.1,2725,L013
R407,3.8,377,3.6,2903,L050
R408,4.3,339,4.1,4449,L025
R409,3.8,424,,,L015
R410,,,4.1,290,L021
R411,4,412,3.7,2861,L032
R412,4.1,402,3.9,1234,L268
R413,3.9,519,3.9,3571,L089
R414,4,274,,,L207
R415,,,3.9,2540,L088
R416,3.8,419,,,L115
R417,4.1,410,4.1,164,L007
R418,4.1,319,4,3880,L007
R419,4.1,320,3.8,1118,L017
R420,2.8,586,3.7,18300,L031
R421,4.3,445,3.9,4619,L064
R422,4.5,397,,,L202
R423,4,266,4,9025,L011
R424,4.3,578,4,4593,L031
R425,3.6,450,3.6,10900,L011
R426,4,254,3.5,4175,L010
R427,4.1,447,4.4,3133,L025
R428,4.1,244,4.1,147,L025
R429,3.3,347,3.8,3801,L010
R430,4.2,383,,,L246
R431,3.8,343,4.1,2587,L268
R432,3.8,390,,,L025
R433,2.1,462,3.8,1255,L019
R434,3.7,247,4,4642,L025
R435,4.2,375,,,L241
R436,4,385,3.9,80,L015
R437,4,266,3.8,10300,L268
R438,4,382,3.9,1836,L042
R439,4.1,277,4.3,2140,L058
R440,4.1,365,3.7,4055,L019
R441,4.3,281,3.9,1370,L013
R442,3.4,548,4,11200,L031
R443,3.9,380,3.9,67,L024
R444,4.8,371,,,L103
R445,4.3,343,4.4,298,L021
R446,4.6,377,,,L194
R447,3.7,243,3.7,10800,L005
R448,3.9,413,4,1861,L032
R449,3.7,307,4.1,3527,L013
R450,4.1,372,3.8,53,L038
R451,4.1,369,3.8,435,L007
R452,3.9,369,3.4,572,L007
R453,4.1,363,3.9,4083,L042
R454,4,357,3.6,2570,L037
R455,4.2,322,3.9,33,L008
R456,4.2,520,3.8,586,L109
R457,4,361,3.7,1152,L019
R458,4.2,511,3.6,57,L147
R459,3.9,433,3.9,6634,L063
R460,3.9,480,3.9,5958,L054
R461,3.6,542,3.4,12700,L268
R462,4.2,382,4.2,467,L070
R463,3.9,348,4.3,764,L037
R464,,,3.3,4945,L016
R465,3.8,351,,,L187
R466,4.1,383,4.1,2397,L044
R467,4,271,4.2,2055,L025
R468,4,421,4.2,5692,L037
R469,4.1,370,4,1899,L025
R470,3.9,514,3.8,12800,L050
R471,4.6,419,,,L008
R472,4.5,322,4.3,324,L032
R473,3.9,376,3.5,2188,L024
R474,4.2,337,4.6,779,L154
R475,3.9,517,3.3,9239,L008
R476,4.3,294,,,L103
R477,4,333,3.9,37,L011
R478,3,309,,,L158
R479,4,219,3.8,867,L007
R480,3.9,339,4.1,1189,L007
R481,4,272,4.3,997,L021
R482,3.9,169,3.9,1458,L007
R483,4,296,3.4,851,L072
R484,3.7,401,3.7,3453,L042
R485,4.3,375,3.7,352,L025
R486,4,352,,,L004
R487,4,331,4.1,410,L008
R488,4.3,324,,,L032
R489,3.9,329,3.9,49,L021
R490,4.1,331,,,L115
R491,3.8,479,3.8,2571,L013
R492,4,326,,,L122
R493,3.8,452,3.4,14600,L034
R494,4,349,3.6,32600,L036
R495,4.1,323,3.8,794,L038
R496,4.2,316,4,343,L268
R497,3.5,439,4,8572,L031
R498,4.1,308,,,L217
R499,4.2,309,3.9,97,L015
R500,4.1,299,,,L180
R501,4,408,3.9,2503,L077
R502,3.9,351,4,11900,L054
R503,4.1,301,,,L225
R504,3.8,454,3.5,15400,L088
R505,4,254,3.7,245,L025
R506,3.9,380,3.8,7518,L005
R507,4.1,404,3.9,2896,L042
R508,4.4,295,,,L195
R509,4.3,291,3.9,82,L025
R510,3.9,300,4,178,L024
R511,4.2,263,,,L048
R512,4.2,328,3.9,989,L024
R513,4,350,4.3,2947,L026
R514,3.7,465,3.6,7927,L055
R515,3.9,332,3.9,113,L017
R516,4.1,440,4,2027,L053
R517,4.1,289,4.3,2230,L011
R518,3.8,293,,,L181
R519,2,442,3.9,40,L007
R520,4.1,255,3.6,281,L021
R521,3.9,312,3.7,548,L054
R522,4.3,452,,,L053
R523,4.2,287,,,L008
R524,4.1,289,,,L194
R525,4.1,333,4,209,L027
R526,4.1,329,3.7,4037,L068
R527,3.8,272,3.9,12300,L016
R528,,,4,2304,L011
R529,4.3,335,4.1,6902,L056
R530,4,278,4.1,792,L007
R531,3.6,341,3.9,150,L040
R532,4.1,337,4,1052,L025
R533,3.7,394,3.5,8344,L042
R534,2.2,300,3.4,881,L268
R535,4.2,323,,,L008
R536,4,282,,,L251
R537,4,391,4,902,L023
R538,3.8,276,4.1,324,L052
R539,4.2,278,,,L144
R540,4.1,295,,,L149
R541,,,4.1,250,L011
R542,3.7,315,3.6,12500,L037
R543,3.9,219,3.9,7481,L022
R544,4.1,267,,,L161
R545,4.2,261,,,L072
R546,4,416,3.7,6661,L050
R547,4.2,264,3.9,44,L038
R548,4,300,,,L131
R549,3.9,265,3.4,516,L007
R550,4.1,295,,,L055
R551,3.2,264,3.5,11500,L028
R552,4,308,4,12300,L010
R553,3.7,261,4.2,1217,L042
R554,4.1,364,3.9,10300,L007
R555,4.2,298,,,L027
R556,4.4,210,4.2,137,L038
R557,4.2,188,,,L252
R558,3.9,223,3.9,7705,L026
R559,4.2,257,,,L244
R560,3.9,458,3.5,6374,L068
R561,3.9,259,,,L025
R562,3.9,263,3.9,1773,L027
R563,3.9,310,3.8,6391,L119
R564,4,248,,,L095
R565,3.9,267,4.2,251,L077
R566,4.4,394,,,L109
R567,4,168,3.4,111,L042
R568,3.9,244,,,L047
R569,4.2,310,,,L195
R570,4,246,2.9,379,L063
R571,4,250,3.5,277,L170
R572,,,4.1,4952,L031
R573,3.9,266,4.3,678,L011
R574,4.2,322,3.7,8340,L046
R575,3.9,243,,,L138
R576,3.9,394,3.7,12,L034
R577,4,147,3.6,1868,L079
R578,3.9,223,3.1,323,L007
R579,3.3,243,,,L114
R580,3.5,233,3.7,13700,L027
R581,4.1,441,3.3,3061,L017
R582,3.7,275,3.7,4056,L008
R583,4,240,3.9,64,L137
R584,2.6,213,3.3,4777,L042
R585,4.2,252,3.6,100,L099
R586,3.7,400,3.8,8396,L010
R587,4.2,208,3.8,51,L069
R588,,,4.1,10100,L012
R589,4.1,239,3.9,54,L251
R590,4.4,237,,,L241
R591,4.3,332,,,L043
R592,4,329,4,7559,L004
R593,4.3,289,4,287,L058
R594,4.3,363,,,L208
R595,4.1,255,,,L112
R596,4.2,354,3.8,85,L019
R597,3.8,85,,,L024
R598,4.1,227,,,L187
R599,3.5,222,3.5,35,L141
R600,3.9,226,,,L143
R601,4.1,255,3.9,603,L013
R602,,,4.1,461,L038
R603,,,3.7,5731,L045
R604,4,225,3.6,85,L121
R605,3.9,118,,,L008
R606,,,3.8,6038,L063
R607,3.9,225,3.6,1757,L083
R608,3.8,285,3.8,3851,L042
R609,4,252,3.8,353,L014
R610,,,3.7,358,L042
R611,2.5,344,3.7,841,L040
R612,3.7,219,4.2,118,L190
R613,4.2,214,,,L204
R614,3.5,207,,,L047
R615,3.9,246,3.7,83,L052
R616,4,345,3.3,4954,L027
R617,4.1,254,3.8,549,L007
R618,3.9,333,3.8,4974,L006
R619,3.9,198,3.7,1327,L021
R620,3.7,205,3.8,14,L024
R621,3.9,283,3.9,3848,L025
R622,4,198,3.9,133,L027
R623,3.9,304,4.3,1386,L024
R624,4,201,3.3,129,L038
R625,4.2,250,4.4,1485,L099
R626,4,195,3.7,513,L005
R627,3.8,347,4,2324,L090
R628,3.7,334,4.1,8806,L088
R629,4.1,202,,,L187
R630,3.7,199,,,L255
R631,4.2,195,,,L103
R632,3.7,246,3.8,7262,L010
R633,2.4,298,3.9,23,L024
R634,4.1,197,,,L178
R635,3.9,304,,,L208
R636,3.8,165,3.9,4758,L016
R637,3.8,277,3.9,3381,L090
R638,3.9,216,4.3,326,L011
R639,3.9,169,3.8,811,L013
R640,3.4,353,4,3583,L077
R641,4,225,3.5,2665,L050
R642,3.1,277,3.8,990,L268
R643,4,268,3.6,83,L025
R644,4.2,241,4.1,4283,L024
R645,3.8,196,,,L062
R646,3.8,369,3.6,11100,L017
R647,3.9,188,,,L212
R648,4.3,195,,,L126
R649,4,248,,,L165
R650,3.9,233,4,10400,L028
R651,,,3.9,11200,L033
R652,3.7,170,3.4,3715,L055
R653,4,236,4.3,727,L066
R654,4.1,208,,,L021
R655,3.2,367,3.8,8352,L022
R656,4,185,,,L153
R657,3.8,209,3.2,97,L010
R658,4.1,344,3.8,1733,L017
R659,4.2,210,,,L048
R660,4,262,4.1,183,L037
R661,4,286,,,L008
R662,3.8,354,4.2,2748,L022
R663,4.1,199,4.1,377,L038
R664,2.2,187,3.7,67,L025
R665,2.8,214,,,L115
R666,3.7,127,3.9,2342,L010
R667,3.5,168,3.4,465,L024
R668,3.9,237,4.3,1282,L013
R669,3.9,228,4.1,2712,L004
R670,3.9,178,,,L024
R671,4.2,324,,,L109
R672,3.9,180,4.1,373,L025
R673,3.9,180,,,L038
R674,3.8,325,4.2,6863,L018
R675,4.1,312,4,2219,L063
R676,4,328,3.9,4874,L019
R677,4.1,213,3.9,44,L024
R678,4,215,,,L025
R679,3.6,214,3.7,14900,L052
R680,4.1,176,,,L194
R681,3.9,276,3.5,557,L007
R682,4.1,365,3.6,20300,L088
R683,4,213,,,L010
R684,3.1,194,3.8,1983,L056
R685,3.8,101,3.5,260,L008
R686,4.3,245,,,L217
R687,4,168,,,L178
R688,3.9,286,3.7,10300,L044
R689,3.8,330,3.8,3271,L057
R690,3.6,292,3.9,2272,L024
R691,4.1,250,3.7,67,L011
R692,4.1,172,,,L118
R693,4.1,279,4,403,L025
R694,3.7,163,,,L210
R695,4.1,200,,,L037
R696,3.1,228,3.6,2048,L021
R697,4.1,164,,,L144
R698,4,343,4,6001,L075
R699,4,292,4,13600,L053
R700,3.9,145,3.5,1000,L042
R701,4,305,3.8,6083,L007
R702,3.9,161,3.9,96,L007
R703,4,203,3.9,67,L076
R704,3.9,241,3.9,1111,L011
R705,3.8,282,,,L259
R706,3.9,292,3.8,1913,L019
R707,3.8,157,3.5,209,L018
R708,3.8,161,,,L063
R709,4.2,260,3.9,1211,L073
R710,2,250,,,L015
R711,3.9,240,3.7,9558,L026
R712,4.1,155,4,932,L017
R713,3.9,221,3.9,108,L066
R714,4,272,3.9,4712,L018
R715,3.3,245,4.2,308,L062
R716,4.1,159,,,L257
R717,4.2,187,,,L024
R718,,,3.5,11900,L075
R719,4.1,281,,,L268
R720,3.6,194,,,L177
R721,3.6,217,,,L017
R722,3.8,119,3.9,25,L201
R723,3.9,259,4.3,2431,L041
R724,4,189,3.5,97,L024
R725,3.5,233,4.3,1490,L042
R726,2.9,323,3.3,8767,L037
R727,4,163,3.7,434,L016
R728,3.8,251,3.9,76,L045
R729,4,225,4.2,2629,L011
R730,3.4,266,3.8,3333,L087
R731,3.9,240,4.2,4412,L060
R732,,,4,4077,L024
R733,4.1,264,,,L019
R734,3.7,237,3.9,779,L003
R735,3.6,339,3.7,6631,L052
R736,4,111,,,L118
R737,3.8,148,,,L261
R738,4.1,219,,,L077
R739,4,147,,,L246
R740,4.1,241,3.8,674,L061
R741,3.7,220,3.8,1701,L025
R742,3.9,332,3.8,7661,L052
R743,3.9,115,4.3,680,L008
R744,,,3.6,2165,L032
R745,4,238,4.2,1261,L007
R746,3.7,322,3.6,5536,L031
R747,3.9,140,4.1,1930,L026
R748,3.9,271,4.1,3142,L033
R749,3.8,163,3.6,2575,L022
R750,,,3.6,10400,L090
R751,4,227,4,1679,L007
R752,3,289,3.3,631,L003
R753,3.3,288,3.7,1172,L053
R754,4.1,284,3.9,1693,L037
R755,4,173,4.3,429,L025
R756,3.8,268,3.8,1452,L004
R757,4,169,4.1,530,L011
R758,4.1,252,4.3,1364,L008
R759,4,232,3.9,2992,L037
R760,3.1,220,3.4,6415,L017
R761,4,262,,,L198
R762,,,4.2,58,L014
R763,3.9,185,,,L047
R764,,,3.3,4634,L044
R765,4.1,242,4.6,2603,L042
R766,3.7,134,3.2,1021,L042
R767,4,311,4.1,10300,L013
R768,4,135,4.1,204,L054
R769,3.8,238,4.3,346,L011
R770,3.9,170,3.7,496,L268
R771,,,3.8,3147,L061
R772,3.6,289,3.8,5329,L011
R773,3.9,269,3.7,3359,L044
R774,,,4.3,187,L042
R775,3.8,199,2.9,1924,L028
R776,3.9,134,,,L216
R777,3.8,322,3.6,7035,L005
R778,3.1,223,3.7,4995,L009
R779,3.8,261,3.1,1930,L040
R780,3.7,301,3.5,4206,L053
R781,4,187,3.7,1106,L034
R782,3.9,125,,,L072
R783,4,130,,,L008
R784,4,129,3.9,97,L038
R785,4.1,193,,,L219
R786,4,138,3.8,1232,L025
R787,4.1,309,4.1,663,L050
R788,,,2.3,3810,L027
R789,3.8,261,4.3,1552,L061
R790,3.8,235,3.9,2575,L042
R791,3.1,275,3.3,1204,L083
R792,4,196,3.8,686,L064
R793,3.5,180,,,L185
R794,3.6,242,,,L073
R795,4.1,248,4.1,3696,L026
R796,3.3,220,3.3,11600,L088
R797,4,173,4.1,579,L121
R798,4,158,3.5,141,L017
R799,3.1,200,3.4,264,L075
R800,4.2,113,,,L017
R801,3.8,289,4,2853,L069
R802,4,242,4.2,1746,L035
R803,4,217,3.9,56,L011
R804,4,118,,,L182
R805,4,106,3.8,141,L004
R806,3.9,104,3,178,L010
R807,3.9,118,,,L015
R808,4.3,197,4.1,938,L013
R809,,,4.2,434,L268
R810,4.1,293,3.8,5985,L006
R811,3.8,147,3.8,235,L062
R812,3.9,259,4.3,2729,L022
